case_id,lambda_value,model_name,seed,fragile_flag,fragile_label,n_points,weight_sum,negative_frequency,negative_frequency_weighted,min_eigenvalue_mean,min_eigenvalue_weighted_mean,min_eigenvalue_q10,min_eigenvalue_q05,spectral_tail_mean,logdet_residual_mean,logdet_residual_weighted_mean,logdet_residual_q90,logdet_residual_q95,euler_density_proxy_mean,euler_density_proxy_weighted_mean,determinant_g_mean,determinant_g_weighted_mean,logdet_g_mean,logdet_g_weighted_mean,logdet_target_mean,logdet_target_weighted_mean,fragility_score_mean,chart_id_mode
cefalu_lambda_0_50,0.5,global,7,False,regular,196.0,195.9545135498047,0.0,0.0,0.14141292870044708,0.13957653554153518,0.06276323460042477,0.04420340061187744,0.04020262551493943,-0.3144805133342743,-0.34920017457332114,0.5519249439239502,0.6781987547874451,-4.006035327911377,-4.0534410341084515,0.02500828728079796,0.02375808412135521,-4.006035327911377,-4.0534410341084515,-3.691554546356201,-3.7042408595351306,1.1590109313932562,3.0
cefalu_lambda_0_50,0.5,global,7,True,fragile,4.0,4.045485973358154,0.0,0.0,0.11801323294639587,0.12234912096847377,0.0932668074965477,0.0871698223054409,0.0810728371143341,0.4943974018096924,0.578855735032055,0.7148062705993652,0.722504711151123,-4.253070831298828,-4.2063626221883235,0.014852753840386868,0.015509979546128322,-4.253070831298828,-4.2063626221883235,-4.747467994689941,-4.785218357220378,0.6708268990534956,3.0
cefalu_lambda_0_50,0.5,global,11,False,regular,193.0,194.46636962890625,0.12435233160621761,0.11727898435443744,0.09659542888402939,0.09781137964843667,-0.009653745777904985,-0.025781910866498944,-0.028342912346124648,-2.5633349418640137,-2.4823272244333303,0.055971956253051805,0.20067071914672835,-6.2070136070251465,-6.109991584676169,0.013702903874218464,0.013429463175581602,-6.2070136070251465,-6.109991584676169,-3.643678665161133,-3.6276643580432264,1.1652554941028914,3.0
cefalu_lambda_0_50,0.5,global,11,True,fragile,7.0,5.533630847930908,0.0,0.0,0.08842343091964722,0.09074405110733152,0.05506926402449608,0.05367289483547211,0.052276525646448135,-0.13855735957622528,-0.04570132658670028,0.38330135345458993,0.446724224090576,-4.900485515594482,-4.816924179806788,0.008325549773871899,0.008853854649092116,-4.900485515594482,-4.816924179806788,-4.761928081512451,-4.771222853220088,0.6604989570630643,3.0
cefalu_lambda_0_50,0.5,global,19,False,regular,200.0,200.0,0.02,0.008849557709377426,0.1372862309217453,0.13806757474150164,0.036466155573725706,0.010782042937353256,0.010021901110303589,-0.625074028968811,-0.4610555945837694,0.8076636552810669,1.2240072250366203,-4.299036502838135,-4.165248684301017,0.02891225554049015,0.029865840277010326,-4.299036502838135,-4.165248684301017,-3.673962354660034,-3.7041930907721947,1.1557821152650742,3.0
cefalu_lambda_0_50,0.5,local,7,False,regular,196.0,195.9545135498047,0.0,0.0,0.16801032423973083,0.16707123912284683,0.055253660306334496,0.042576929554343224,0.0389605529140681,-0.012473163194954395,-0.018378974773042143,0.8701262474060059,0.9485162496566772,-3.7040276527404785,-3.7226198343081727,0.03457047417759895,0.03447672672444024,-3.7040276527404785,-3.7226198343081727,-3.691554546356201,-3.7042408595351306,1.1590109313932562,3.0
cefalu_lambda_0_50,0.5,local,7,True,fragile,4.0,4.045485973358154,0.0,0.0,0.10778085887432098,0.11222407926009215,0.08239593729376793,0.08204660750925541,0.08169727772474289,0.2850266695022583,0.38586114282524364,0.6021760940551759,0.690486145019531,-4.462441444396973,-4.399357214395135,0.012428531423211098,0.013633109651212833,-4.462441444396973,-4.399357214395135,-4.747467994689941,-4.785218357220378,0.6708268990534956,3.0
cefalu_lambda_0_50,0.5,local,11,False,regular,193.0,194.46636962890625,0.0,0.0,0.14964810013771057,0.1489418494290179,0.05438513010740281,0.038164861500263214,0.038403319427743554,-0.18783237040042877,-0.19847166971025632,0.6834886550903322,0.8301803112030023,-3.8315110206604004,-3.8261360277534826,0.029926778748631477,0.029425472188467354,-3.8315110206604004,-3.8261360277534826,-3.643678665161133,-3.6276643580432264,1.1652554941028914,3.0
cefalu_lambda_0_50,0.5,local,11,True,fragile,7.0,5.533630847930908,0.14285714285714285,0.09929296351643058,0.08826825767755508,0.07659699946958197,0.009687474183738234,0.0010641569737344994,-0.007559160236269236,-2.122401475906372,-1.874904434913267,1.0117618083953859,1.0871057033538816,-6.8843302726745605,-6.646127288133355,0.010195283219218254,0.007881345297344635,-6.8843302726745605,-6.646127288133355,-4.761928081512451,-4.771222853220088,0.6604989570630643,3.0
cefalu_lambda_0_50,0.5,local,19,False,regular,200.0,200.0,0.04,0.04812423714976144,0.1546095907688141,0.15338220918560944,0.041981030628085135,0.003933195665013047,0.005800247454317287,-0.7101882696151733,-0.7800740132109447,0.8932649374008178,1.0308524549007414,-4.384150981903076,-4.484267102400716,0.03287607803940773,0.03277815851281432,-4.384150981903076,-4.484267102400716,-3.673962354660034,-3.7041930907721947,1.1557821152650742,3.0
cefalu_lambda_0_75,0.75,global,7,False,regular,184.0,183.8404541015625,0.005434782608695652,0.0023446115232491787,0.15064020454883575,0.14547043529682857,0.07214531898498536,0.050022904947400096,0.04457012377679348,-0.3792669475078583,-0.4009797224891685,0.5164264202117921,0.632271122932434,-3.9154908657073975,-3.9609216404422964,0.028746511787176132,0.026487084630144143,-3.9154908657073975,-3.9609216404422964,-3.5362236499786377,-3.5599419168351294,1.0759863264627223,3.0
cefalu_lambda_0_75,0.75,global,7,True,fragile,16.0,16.159530639648438,0.0,0.0,0.10996663570404053,0.1187657793778702,0.041123032569885254,0.025806963443756104,0.020519904792308807,-0.5313746929168701,-0.4454224849218455,0.47574758529663086,0.6734125018119812,-4.5326714515686035,-4.521567761416653,0.016372481361031532,0.01823194301391678,-4.5326714515686035,-4.521567761416653,-4.001296520233154,-4.076145276494808,0.603008489891121,3.0
cefalu_lambda_0_75,0.75,global,11,False,regular,180.0,180.06173706054688,0.10555555555555556,0.10784130406015953,0.10489844530820847,0.10386725258402014,-0.002815559878945349,-0.016723333671689027,-0.022062847326095734,-2.398179769515991,-2.4457798929136603,0.070086669921875,0.2029364705085753,-5.88960075378418,-5.928964498537745,0.016420971602201462,0.015442419687849035,-5.88960075378418,-5.928964498537745,-3.4914205074310303,-3.483184608325036,1.0689918930929836,3.0
cefalu_lambda_0_75,0.75,global,11,True,fragile,20.0,19.93828773498535,0.15,0.11694803506829884,0.08238779008388519,0.08722453702914025,-0.02999732457101345,-0.038382078520953655,-0.0615833792835474,-2.5887389183044434,-2.0664408098510103,0.0016103506088259584,0.18023465871810918,-6.658914089202881,-6.113303793314421,0.010449246503412724,0.011292702238977806,-6.658914089202881,-6.113303793314421,-4.070174694061279,-4.046862957006641,0.594172264878061,3.0
cefalu_lambda_0_75,0.75,global,19,False,regular,187.0,182.6524200439453,0.016042780748663103,0.007332428004770092,0.1479206532239914,0.14737261510934702,0.03800495490431786,0.016614093072712423,0.01416722910576745,-0.5651977062225342,-0.42598426096260283,0.8385363578796388,1.2333417534828182,-4.088397979736328,-4.018496796202531,0.03401058167219162,0.03505896681241484,-4.088397979736328,-4.018496796202531,-3.523200511932373,-3.592512536988117,1.0669357425206765,3.0
cefalu_lambda_0_75,0.75,global,19,True,fragile,13.0,17.347579956054688,0.07692307692307693,0.025734342321318316,0.08003703504800797,0.07936658367909108,0.009500604122877123,0.0009234178811311734,-0.0006464030593633652,-1.523706316947937,-0.940796586838858,0.30398864746093757,0.7372528553009019,-5.669637203216553,-5.0742526582251575,0.01464198436588049,0.014892160476338581,-5.669637203216553,-5.0742526582251575,-4.145931720733643,-4.1334560713863,0.6023040306625499,1.0
cefalu_lambda_0_75,0.75,local,7,False,regular,184.0,183.8404541015625,0.0,0.0,0.18080906569957733,0.17728514313090424,0.07915020659565926,0.058674837835133074,0.05565550942954264,0.024278422817587852,0.009056407189434821,0.7879365444183354,0.916583502292633,-3.5119457244873047,-3.5508855096456946,0.038885846734046936,0.03781043426081573,-3.5119457244873047,-3.5508855096456946,-3.5362236499786377,-3.5599419168351294,1.0759863264627223,3.0
cefalu_lambda_0_75,0.75,local,7,True,fragile,16.0,16.159530639648438,0.0,0.0,0.12300240248441696,0.12548940782296128,0.044598307460546494,0.043627211824059486,0.04312730208039284,-0.3091629147529602,-0.23173103822467953,0.740593671798706,0.7998487949371338,-4.310459613800049,-4.307876314719487,0.020899368450045586,0.021501579627583856,-4.310459613800049,-4.307876314719487,-4.001296520233154,-4.076145276494808,0.603008489891121,3.0
