subset,n_rows,n_channels,full_rank,effective_rank,effective_rank_over_full_rank,pc1_variance_explained,pc2_variance_explained,pc1_pc2_variance_explained,singular_values,explained_variance_ratio,variables_used
baseline_combined,58,13,12,2.686857630497798,0.22390480254148315,0.6915174921510114,0.14197077226304383,0.8334882644140553,"[22.834276627076726, 10.346301865223875, 9.492078925248208, 4.747260903375677, 2.0902540222425228, 1.8379888789553278, 1.5920256401066781, 1.0974095273203712, 0.8129404900147101, 0.6844465379545311, 0.5461159347984671, 1.6637124829973004e-06, 2.655107901286428e-16]","[0.6915174921510114, 0.14197077226304383, 0.1194954407468716, 0.029889238839150206, 0.005794644399868761, 0.004480375489606715, 0.003361466364399309, 0.0015972250273919375, 0.0008764883823678477, 0.0006213091025436916, 0.00039554723374111885, 3.671006931141967e-15, 9.349599426357589e-35]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
baseline_fragile_only,28,13,12,2.9895023247905037,0.24912519373254197,0.6304572147081621,0.16631740374482037,0.7967746184529825,"[15.148809397235512, 7.780715581687497, 7.445862632988568, 3.303864275025871, 1.6596351267328018, 1.3926848999775194, 1.2146287218919045, 0.8325219065443847, 0.5745448896833786, 0.5015402067531953, 0.4166885351226707, 9.347271163429424e-07, 5.49510140440447e-17]","[0.6304572147081621, 0.16631740374482037, 0.15231008337729524, 0.029987689966462158, 0.007567002071113746, 0.005328492391828005, 0.00405308497814495, 0.0019041008925173005, 0.0009068731600584771, 0.0006910510411814229, 0.00047700366841394836, 2.4003153352384415e-15, 8.29564270458461e-36]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
baseline_regular_only,30,13,12,2.0466446409545997,0.17055372007954997,0.7932606144195002,0.12409698088198982,0.9173575953014901,"[17.58896357445785, 6.956854356961631, 4.937538144120651, 2.267664705937453, 1.2216582990557219, 0.8537030169219586, 0.449944521871726, 0.35929167454281924, 0.28224510418726595, 0.23232914851613112, 0.15004711332476678, 1.2720024228397135e-06, 1.5573426343388558e-17]","[0.7932606144195002, 0.12409698088198982, 0.06251098185806771, 0.013185392868088192, 0.003826792306799281, 0.0018687406182093691, 0.0005191027506727593, 0.0003310013010148286, 0.00020426230471200157, 0.0001384021365390526, 5.772855440280873e-05, 4.1486927274617985e-15, 6.21875918135766e-37]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
baseline_fragile_local,14,13,12,2.294077285716218,0.19117310714301816,0.750637962193938,0.15289906042958346,0.9035370226235214,"[11.688289400904516, 5.275189949014559, 3.1620345180931224, 2.409921991936447, 0.8632464210931605, 0.6900928566851925, 0.49990896945730195, 0.3905630987233448, 0.31222130419881544, 0.15079545599223323, 0.07735065053320896, 1.1741334532996852e-07, 2.76624678161085e-17]","[0.750637962193938, 0.15289906042958346, 0.054936606008859315, 0.03191057146823586, 0.004094474634781041, 0.002616638191472138, 0.001373126251339898, 0.0008381293081559399, 0.0005356161692066437, 0.00012494104147200839, 3.287430295555282e-05, 7.574666847018915e-17, 4.204462228995812e-36]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
baseline_fragile_global,14,13,12,2.5803430135059062,0.21502858445882553,0.6841826573481106,0.2181463595352878,0.9023290168833984,"[11.158908711758338, 6.301002891240598, 2.9010411189262024, 2.3884171755982972, 1.294667120875361, 0.9683311215567103, 0.8057688508644639, 0.5354070990830128, 0.26108841997003124, 0.15142616283515276, 0.12121627519260834, 2.7091714290053785e-07, 1.2191409028866416e-17]","[0.6841826573481106, 0.2181463595352878, 0.04624197567967359, 0.03134360771809312, 0.009209686559756576, 0.005152006378985036, 0.0035673815440848285, 0.0015750591304861926, 0.00037454485188157926, 0.00012598836698339672, 8.073288665697889e-05, 4.0327526548016734e-16, 8.166508467534373e-37]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
baseline_regular_local,15,13,12,2.33389770265195,0.19449147522099583,0.7481164038043125,0.13519437081991928,0.8833107746242318,"[12.078191037644709, 5.13448169827143, 3.9207657877547115, 2.299485990003174, 1.1378215797146933, 0.551398001734869, 0.4861768794369652, 0.3767778471625241, 0.2500449002405436, 0.19948624614111907, 0.12261462104698859, 1.6291290679882118e-06, 1.7709326719998896e-17]","[0.7481164038043125, 0.13519437081991928, 0.07883284288424523, 0.02711608111908141, 0.006639168960330462, 0.0015591782375241358, 0.0012121433748670018, 0.0007280079287816736, 0.0003206279596733507, 0.000204075704612693, 7.709920663844416e-05, 1.3610571898277635e-14, 1.6083089891059836e-36]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
baseline_regular_global,15,13,12,1.9151102570744978,0.1595925214228748,0.8118799585025326,0.10226374208231623,0.9141437005848488,"[12.582392137745265, 4.4655827957895555, 3.849249249550699, 1.2813682715726615, 0.39895206453115406, 0.2399181169024576, 0.17555460472131965, 0.15349725156411517, 0.07437290925084024, 0.07356449581978304, 0.03614706945891799, 5.912805027966057e-07, 2.068106554691765e-18]","[0.8118799585025326, 0.10226374208231623, 0.07598317838546985, 0.00842002383278518, 0.0008162192297111288, 0.00029518309137446824, 0.0001580483037890194, 0.00012082772429608849, 2.8365792976583164e-05, 2.775248741137885e-05, 6.700567335732521e-06, 1.7928852973713174e-15, 2.1933665238764325e-38]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
