subset,n_rows,n_channels,full_rank,effective_rank,effective_rank_over_full_rank,pc1_variance_explained,pc2_variance_explained,pc1_pc2_variance_explained,singular_values,explained_variance_ratio,variables_used
ablation_combined,24,13,12,2.0399155120651433,0.16999295933876193,0.7935835061332066,0.1315134347444462,0.9250969408776528,"[15.735248771899355, 6.4056374889832135, 3.7934418661783607, 2.62270039698646, 1.3298993812089475, 0.5751433991956695, 0.038391553572258756, 0.008376151904893788, 0.004923704250363372, 0.0020516839249508523, 0.0010316922915229979, 6.860670957105837e-07, 5.2134169880330676e-18]","[0.7935835061332066, 0.1315134347444462, 0.046122439718188406, 0.022046658244720973, 0.005668693474807511, 0.001060224133456249, 4.724074954139794e-06, 2.2487154081364082e-07, 7.770148572130243e-08, 1.3491688871479935e-08, 3.4115031550896653e-09, 1.5086155763357555e-15, 8.711447657407633e-38]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
ablation_fragile_only,12,13,11,1.6924489697178358,0.15385899724707597,0.7951406701141543,0.20101350223374037,0.9961541723478947,"[11.137411931764403, 5.599830921417494, 0.774423885619887, 0.0132202764940058, 0.006479459441880921, 1.6896376374059955e-06, 8.951269272404069e-07, 7.029729895163278e-07, 5.614903424374954e-07, 2.7431867338973303e-07, 1.798342226277337e-07, 9.6195208048535e-16]","[0.7951406701141543, 0.20101350223374037, 0.0038444381706320752, 1.1203571190895016e-06, 2.691243247370501e-07, 1.830048298550586e-14, 5.1362321530182866e-15, 3.167762974291815e-15, 2.020970542631897e-15, 4.823765036557886e-16, 2.0730992069308513e-16, 5.9317423407057266e-33]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
ablation_regular_only,12,13,11,1.3730289038559145,0.12482080944144677,0.9056278459142874,0.09360057792669868,0.9992284238409861,"[11.88603987721011, 3.8212157956028867, 0.3468443276806301, 0.0069687946020406425, 0.004040923186181903, 1.4728018627485504e-06, 8.465304357316187e-07, 6.184810670502575e-07, 5.08415247740116e-07, 1.579329095277004e-07, 2.2876990116071036e-08, 6.863536647078803e-15]","[0.9056278459142874, 0.09360057792669868, 0.0007711601772065915, 3.1130832182968444e-07, 1.0467346279886217e-07, 1.3904777736638456e-14, 4.593678068076691e-15, 2.452043783971954e-15, 1.6569619495810475e-15, 1.598897686659281e-16, 3.3548504921205873e-18, 3.019752263191905e-31]","['negative_frequency', 'min_eigenvalue_mean', 'min_eigenvalue_q10', 'min_eigenvalue_q05', 'spectral_tail_mean', 'logdet_residual_mean', 'logdet_residual_q90', 'logdet_residual_q95', 'euler_density_proxy_mean', 'euler_density_proxy_weighted_mean', 'determinant_g_mean', 'logdet_g_mean', 'logdet_target_mean']"
