subset,mode,variable,loading,abs_loading,explained_variance_ratio
ablation_combined,PC1,euler_density_proxy_mean,-0.3103008727512921,0.3103008727512921,0.7935835061332066
ablation_combined,PC1,logdet_g_mean,-0.3103008727512921,0.3103008727512921,0.7935835061332066
ablation_combined,PC1,logdet_residual_mean,-0.3088068231106217,0.3088068231106217,0.7935835061332066
ablation_combined,PC1,euler_density_proxy_weighted_mean,-0.3013294557944277,0.3013294557944277,0.7935835061332066
ablation_combined,PC1,min_eigenvalue_q10,-0.28910123160094103,0.28910123160094103,0.7935835061332066
ablation_combined,PC1,determinant_g_mean,-0.2861518793594808,0.2861518793594808,0.7935835061332066
ablation_combined,PC1,logdet_residual_q90,-0.28606363761646586,0.28606363761646586,0.7935835061332066
ablation_combined,PC1,negative_frequency,0.2841340864809347,0.2841340864809347,0.7935835061332066
ablation_combined,PC1,min_eigenvalue_mean,-0.2780942659226826,0.2780942659226826,0.7935835061332066
ablation_combined,PC1,spectral_tail_mean,-0.2709446481664963,0.2709446481664963,0.7935835061332066
ablation_combined,PC1,logdet_residual_q95,-0.26256865326579215,0.26256865326579215,0.7935835061332066
ablation_combined,PC1,min_eigenvalue_q05,-0.2506518814409876,0.2506518814409876,0.7935835061332066
ablation_combined,PC1,logdet_target_mean,-0.10354975283798401,0.10354975283798401,0.7935835061332066
ablation_combined,PC2,logdet_target_mean,0.5890265787423398,0.5890265787423398,0.1315134347444462
ablation_combined,PC2,min_eigenvalue_q05,-0.43685090941450455,0.43685090941450455,0.1315134347444462
ablation_combined,PC2,spectral_tail_mean,-0.34316526235264133,0.34316526235264133,0.1315134347444462
ablation_combined,PC2,min_eigenvalue_mean,0.2912711380377086,0.2912711380377086,0.1315134347444462
ablation_combined,PC2,negative_frequency,0.2840176566741561,0.2840176566741561,0.1315134347444462
ablation_combined,PC2,determinant_g_mean,0.27178888624688385,0.27178888624688385,0.1315134347444462
ablation_combined,PC2,logdet_residual_q90,0.2236783988901105,0.2236783988901105,0.1315134347444462
ablation_combined,PC2,logdet_residual_q95,0.203924286438031,0.203924286438031,0.1315134347444462
ablation_combined,PC2,logdet_residual_mean,-0.08508151186632035,0.08508151186632035,0.1315134347444462
ablation_combined,PC2,euler_density_proxy_weighted_mean,-0.057162458411194945,0.057162458411194945,0.1315134347444462
ablation_combined,PC2,logdet_g_mean,-0.031543791569426126,0.031543791569426126,0.1315134347444462
ablation_combined,PC2,euler_density_proxy_mean,-0.03154379156942611,0.03154379156942611,0.1315134347444462
ablation_combined,PC2,min_eigenvalue_q10,0.030966090065583797,0.030966090065583797,0.1315134347444462
ablation_combined,PC3,logdet_target_mean,0.6698035879413555,0.6698035879413555,0.046122439718188406
ablation_combined,PC3,logdet_residual_q95,-0.5444335883729158,0.5444335883729158,0.046122439718188406
ablation_combined,PC3,logdet_residual_q90,-0.32708801060549597,0.32708801060549597,0.046122439718188406
ablation_combined,PC3,determinant_g_mean,-0.20445273782530535,0.20445273782530535,0.046122439718188406
ablation_combined,PC3,min_eigenvalue_q05,0.17766246138418348,0.17766246138418348,0.046122439718188406
ablation_combined,PC3,euler_density_proxy_weighted_mean,0.1747900455650395,0.1747900455650395,0.046122439718188406
ablation_combined,PC3,spectral_tail_mean,0.16155818215138257,0.16155818215138257,0.046122439718188406
ablation_combined,PC3,min_eigenvalue_q10,0.07685672549619617,0.07685672549619617,0.046122439718188406
ablation_combined,PC3,negative_frequency,-0.06860524048559805,0.06860524048559805,0.046122439718188406
ablation_combined,PC3,logdet_g_mean,0.05667456042021406,0.05667456042021406,0.046122439718188406
ablation_combined,PC3,euler_density_proxy_mean,0.05667456042021405,0.05667456042021405,0.046122439718188406
ablation_combined,PC3,min_eigenvalue_mean,0.03016580129886849,0.03016580129886849,0.046122439718188406
ablation_combined,PC3,logdet_residual_mean,-0.0018851712503637832,0.0018851712503637832,0.046122439718188406
ablation_fragile_only,PC1,euler_density_proxy_mean,0.3095138857141315,0.3095138857141315,0.7951406701141543
ablation_fragile_only,PC1,logdet_g_mean,0.3095138857141315,0.3095138857141315,0.7951406701141543
ablation_fragile_only,PC1,logdet_residual_mean,0.3071082594027831,0.3071082594027831,0.7951406701141543
ablation_fragile_only,PC1,logdet_residual_q95,0.3022587089207313,0.3022587089207313,0.7951406701141543
ablation_fragile_only,PC1,euler_density_proxy_weighted_mean,0.2953336794112118,0.2953336794112118,0.7951406701141543
ablation_fragile_only,PC1,min_eigenvalue_q10,0.2949015241450345,0.2949015241450345,0.7951406701141543
ablation_fragile_only,PC1,logdet_residual_q90,0.2930417252370236,0.2930417252370236,0.7951406701141543
ablation_fragile_only,PC1,determinant_g_mean,0.2905073562759489,0.2905073562759489,0.7951406701141543
ablation_fragile_only,PC1,logdet_target_mean,0.26656530343135143,0.26656530343135143,0.7951406701141543
ablation_fragile_only,PC1,min_eigenvalue_mean,0.2610850470070729,0.2610850470070729,0.7951406701141543
ablation_fragile_only,PC1,negative_frequency,-0.2408971179201329,0.2408971179201329,0.7951406701141543
ablation_fragile_only,PC1,spectral_tail_mean,0.21679638650706354,0.21679638650706354,0.7951406701141543
ablation_fragile_only,PC1,min_eigenvalue_q05,0.1844317588746656,0.1844317588746656,0.7951406701141543
ablation_fragile_only,PC2,min_eigenvalue_q05,0.4961379430041761,0.4961379430041761,0.20101350223374037
ablation_fragile_only,PC2,spectral_tail_mean,0.435728494257801,0.435728494257801,0.20101350223374037
ablation_fragile_only,PC2,negative_frequency,-0.3857491369128183,0.3857491369128183,0.20101350223374037
ablation_fragile_only,PC2,min_eigenvalue_mean,-0.3342139990086337,0.3342139990086337,0.20101350223374037
ablation_fragile_only,PC2,logdet_target_mean,-0.31848136406754746,0.31848136406754746,0.20101350223374037
ablation_fragile_only,PC2,determinant_g_mean,-0.21985471356422195,0.21985471356422195,0.20101350223374037
ablation_fragile_only,PC2,logdet_residual_q90,-0.20694719262514952,0.20694719262514952,0.20101350223374037
ablation_fragile_only,PC2,min_eigenvalue_q10,-0.19582353320794846,0.19582353320794846,0.20101350223374037
ablation_fragile_only,PC2,euler_density_proxy_weighted_mean,0.19059611909065718,0.19059611909065718,0.20101350223374037
ablation_fragile_only,PC2,logdet_residual_q95,-0.14558356295689426,0.14558356295689426,0.20101350223374037
ablation_fragile_only,PC2,logdet_residual_mean,0.09429815642254877,0.09429815642254877,0.20101350223374037
ablation_fragile_only,PC2,euler_density_proxy_mean,0.05537309496743498,0.05537309496743498,0.20101350223374037
ablation_fragile_only,PC2,logdet_g_mean,0.05537309496743498,0.05537309496743498,0.20101350223374037
ablation_fragile_only,PC3,spectral_tail_mean,0.6005707453166886,0.6005707453166886,0.0038444381706320752
ablation_fragile_only,PC3,negative_frequency,0.475338111110781,0.475338111110781,0.0038444381706320752
