run_group,case_id,model_name,seed,objective_variant,run_dir,metrics_path,pointwise_path,summary_path,status,row_count,schema_ok,negative_fraction_metrics,negative_fraction_pointwise,negative_fraction_abs_diff,failure_reason
sweep,cefalu_lambda_0_90,global,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\global\summary.md,success,200,True,0.09999999403953552,0.1,5.960464483090178e-09,
sweep,cefalu_lambda_0_90,local,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_11\local\summary.md,success,200,True,0.02499999850988388,0.025,1.4901161207725444e-09,
sweep,cefalu_lambda_0_90,global,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\global\summary.md,success,200,True,0.02499999850988388,0.025,1.4901161207725444e-09,
sweep,cefalu_lambda_0_90,local,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_90\seed_19\local\summary.md,success,200,True,0.0,0.0,0.0,
sweep,cefalu_lambda_1_0,global,7,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\global\summary.md,success,200,True,0.014999999664723873,0.015,3.3527612630646075e-10,
sweep,cefalu_lambda_1_0,local,7,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\local\summary.md,success,200,True,0.004999999888241291,0.005,1.1175870905794083e-10,
sweep,cefalu_lambda_1_0,global,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\global\summary.md,success,200,True,0.08999999612569809,0.09,3.8743019070697216e-09,
sweep,cefalu_lambda_1_0,local,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\local\summary.md,success,200,True,0.009999999776482582,0.01,2.2351741811588166e-10,
sweep,cefalu_lambda_1_0,global,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\global\summary.md,success,200,True,0.03500000014901161,0.035,1.490116086078075e-10,
sweep,cefalu_lambda_1_0,local,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\local\summary.md,success,200,True,0.004999999888241291,0.005,1.1175870905794083e-10,
sweep,cefalu_lambda_1_10,global,7,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\global\summary.md,success,200,True,0.009999999776482582,0.01,2.2351741811588166e-10,
sweep,cefalu_lambda_1_10,local,7,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_7\local\summary.md,success,200,True,0.009999999776482582,0.01,2.2351741811588166e-10,
sweep,cefalu_lambda_1_10,global,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\global\summary.md,success,200,True,0.07999999821186066,0.08,1.7881393449270533e-09,
sweep,cefalu_lambda_1_10,local,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_11\local\summary.md,success,200,True,0.0,0.0,0.0,
sweep,cefalu_lambda_1_10,global,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\global\summary.md,success,200,True,0.02499999850988388,0.025,1.4901161207725444e-09,
sweep,cefalu_lambda_1_10,local,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_1_10\seed_19\local\summary.md,success,200,True,0.004999999888241291,0.005,1.1175870905794083e-10,
