variable_i,variable_j,correlation,subset
euler_density_proxy_weighted_mean,logdet_residual_mean,0.9201142293564298,baseline_combined
determinant_g_mean,logdet_residual_mean,0.5669354902250561,baseline_combined
logdet_g_mean,logdet_residual_mean,0.9046276003460344,baseline_combined
logdet_target_mean,logdet_residual_mean,0.007840299267493547,baseline_combined
negative_frequency,logdet_residual_q90,-0.29727970308154666,baseline_combined
min_eigenvalue_mean,logdet_residual_q90,0.4970024662377716,baseline_combined
min_eigenvalue_q10,logdet_residual_q90,0.33272188103711053,baseline_combined
min_eigenvalue_q05,logdet_residual_q90,0.33350167258869196,baseline_combined
spectral_tail_mean,logdet_residual_q90,0.3328186297315304,baseline_combined
logdet_residual_mean,logdet_residual_q90,0.5488225828808435,baseline_combined
logdet_residual_q90,logdet_residual_q90,1.0,baseline_combined
logdet_residual_q95,logdet_residual_q90,0.9423063376853249,baseline_combined
euler_density_proxy_mean,logdet_residual_q90,0.40626153952393057,baseline_combined
euler_density_proxy_weighted_mean,logdet_residual_q90,0.4239713692233387,baseline_combined
determinant_g_mean,logdet_residual_q90,0.46263725407173834,baseline_combined
logdet_g_mean,logdet_residual_q90,0.40626153952393057,baseline_combined
logdet_target_mean,logdet_residual_q90,-0.2073703826606878,baseline_combined
negative_frequency,logdet_residual_q95,-0.3008754779861599,baseline_combined
min_eigenvalue_mean,logdet_residual_q95,0.4352156685760321,baseline_combined
min_eigenvalue_q10,logdet_residual_q95,0.26356497018100766,baseline_combined
min_eigenvalue_q05,logdet_residual_q95,0.25171588836419023,baseline_combined
spectral_tail_mean,logdet_residual_q95,0.25824230757382116,baseline_combined
logdet_residual_mean,logdet_residual_q95,0.5054630734470152,baseline_combined
logdet_residual_q90,logdet_residual_q95,0.9423063376853249,baseline_combined
logdet_residual_q95,logdet_residual_q95,1.0,baseline_combined
euler_density_proxy_mean,logdet_residual_q95,0.3952471042629388,baseline_combined
euler_density_proxy_weighted_mean,logdet_residual_q95,0.43111997468451335,baseline_combined
determinant_g_mean,logdet_residual_q95,0.4527823110092951,baseline_combined
logdet_g_mean,logdet_residual_q95,0.3952471042629388,baseline_combined
logdet_target_mean,logdet_residual_q95,-0.1415237932081427,baseline_combined
negative_frequency,euler_density_proxy_mean,-0.9169351434590328,baseline_combined
min_eigenvalue_mean,euler_density_proxy_mean,0.8455719177469807,baseline_combined
min_eigenvalue_q10,euler_density_proxy_mean,0.8938749585707816,baseline_combined
min_eigenvalue_q05,euler_density_proxy_mean,0.8449668859874667,baseline_combined
spectral_tail_mean,euler_density_proxy_mean,0.8570893069829885,baseline_combined
logdet_residual_mean,euler_density_proxy_mean,0.9046276003460344,baseline_combined
logdet_residual_q90,euler_density_proxy_mean,0.4062615395239306,baseline_combined
logdet_residual_q95,euler_density_proxy_mean,0.39524710426293885,baseline_combined
euler_density_proxy_mean,euler_density_proxy_mean,0.9999999999999998,baseline_combined
euler_density_proxy_weighted_mean,euler_density_proxy_mean,0.9804774766503036,baseline_combined
determinant_g_mean,euler_density_proxy_mean,0.7957684609252899,baseline_combined
logdet_g_mean,euler_density_proxy_mean,0.9999999999999998,baseline_combined
logdet_target_mean,euler_density_proxy_mean,0.4332823429665931,baseline_combined
negative_frequency,euler_density_proxy_weighted_mean,-0.9300919133841158,baseline_combined
min_eigenvalue_mean,euler_density_proxy_weighted_mean,0.7809461008980081,baseline_combined
min_eigenvalue_q10,euler_density_proxy_weighted_mean,0.8530518438131885,baseline_combined
min_eigenvalue_q05,euler_density_proxy_weighted_mean,0.8402713785243563,baseline_combined
spectral_tail_mean,euler_density_proxy_weighted_mean,0.8491517519633102,baseline_combined
logdet_residual_mean,euler_density_proxy_weighted_mean,0.9201142293564298,baseline_combined
logdet_residual_q90,euler_density_proxy_weighted_mean,0.4239713692233387,baseline_combined
logdet_residual_q95,euler_density_proxy_weighted_mean,0.43111997468451335,baseline_combined
euler_density_proxy_mean,euler_density_proxy_weighted_mean,0.9804774766503036,baseline_combined
euler_density_proxy_weighted_mean,euler_density_proxy_weighted_mean,1.0,baseline_combined
determinant_g_mean,euler_density_proxy_weighted_mean,0.7415726538375178,baseline_combined
logdet_g_mean,euler_density_proxy_weighted_mean,0.9804774766503036,baseline_combined
logdet_target_mean,euler_density_proxy_weighted_mean,0.35472968335922517,baseline_combined
negative_frequency,determinant_g_mean,-0.5074944201458879,baseline_combined
min_eigenvalue_mean,determinant_g_mean,0.9671317649706768,baseline_combined
min_eigenvalue_q10,determinant_g_mean,0.6945417718688952,baseline_combined
min_eigenvalue_q05,determinant_g_mean,0.5616025314980062,baseline_combined
spectral_tail_mean,determinant_g_mean,0.526192801138723,baseline_combined
logdet_residual_mean,determinant_g_mean,0.5669354902250561,baseline_combined
logdet_residual_q90,determinant_g_mean,0.46263725407173834,baseline_combined
logdet_residual_q95,determinant_g_mean,0.4527823110092951,baseline_combined
euler_density_proxy_mean,determinant_g_mean,0.79576846092529,baseline_combined
euler_density_proxy_weighted_mean,determinant_g_mean,0.7415726538375178,baseline_combined
determinant_g_mean,determinant_g_mean,1.0,baseline_combined
logdet_g_mean,determinant_g_mean,0.79576846092529,baseline_combined
logdet_target_mean,determinant_g_mean,0.6681998124050464,baseline_combined
negative_frequency,logdet_g_mean,-0.9169351434590328,baseline_combined
min_eigenvalue_mean,logdet_g_mean,0.8455719177469807,baseline_combined
min_eigenvalue_q10,logdet_g_mean,0.8938749585707816,baseline_combined
min_eigenvalue_q05,logdet_g_mean,0.8449668859874667,baseline_combined
spectral_tail_mean,logdet_g_mean,0.8570893069829885,baseline_combined
logdet_residual_mean,logdet_g_mean,0.9046276003460344,baseline_combined
logdet_residual_q90,logdet_g_mean,0.4062615395239306,baseline_combined
logdet_residual_q95,logdet_g_mean,0.39524710426293885,baseline_combined
euler_density_proxy_mean,logdet_g_mean,0.9999999999999998,baseline_combined
euler_density_proxy_weighted_mean,logdet_g_mean,0.9804774766503036,baseline_combined
determinant_g_mean,logdet_g_mean,0.7957684609252899,baseline_combined
logdet_g_mean,logdet_g_mean,0.9999999999999998,baseline_combined
logdet_target_mean,logdet_g_mean,0.4332823429665931,baseline_combined
negative_frequency,logdet_target_mean,-0.1804076492690686,baseline_combined
min_eigenvalue_mean,logdet_target_mean,0.5838084435932146,baseline_combined
min_eigenvalue_q10,logdet_target_mean,0.2611890832280795,baseline_combined
min_eigenvalue_q05,logdet_target_mean,0.0887213334949063,baseline_combined
spectral_tail_mean,logdet_target_mean,0.06765292760736426,baseline_combined
logdet_residual_mean,logdet_target_mean,0.007840299267493547,baseline_combined
logdet_residual_q90,logdet_target_mean,-0.20737038266068777,baseline_combined
logdet_residual_q95,logdet_target_mean,-0.14152379320814268,baseline_combined
euler_density_proxy_mean,logdet_target_mean,0.4332823429665931,baseline_combined
euler_density_proxy_weighted_mean,logdet_target_mean,0.35472968335922517,baseline_combined
determinant_g_mean,logdet_target_mean,0.6681998124050464,baseline_combined
logdet_g_mean,logdet_target_mean,0.4332823429665931,baseline_combined
logdet_target_mean,logdet_target_mean,1.0,baseline_combined
negative_frequency,negative_frequency,1.0,baseline_fragile_only
min_eigenvalue_mean,negative_frequency,-0.4323280412918893,baseline_fragile_only
min_eigenvalue_q10,negative_frequency,-0.7987200602531175,baseline_fragile_only
min_eigenvalue_q05,negative_frequency,-0.8568739276890793,baseline_fragile_only
spectral_tail_mean,negative_frequency,-0.8927249638224348,baseline_fragile_only
logdet_residual_mean,negative_frequency,-0.9207709469740818,baseline_fragile_only
logdet_residual_q90,negative_frequency,-0.044992067798935484,baseline_fragile_only
logdet_residual_q95,negative_frequency,-0.05105513404701922,baseline_fragile_only
euler_density_proxy_mean,negative_frequency,-0.892502968121332,baseline_fragile_only
euler_density_proxy_weighted_mean,negative_frequency,-0.9106818540497139,baseline_fragile_only
determinant_g_mean,negative_frequency,-0.34169809625884684,baseline_fragile_only
