case_id,lambda_value,model_name,objective_variant,fragile_flag,fragile_label,n_points,weight_sum,negative_frequency,negative_frequency_weighted,min_eigenvalue_mean,min_eigenvalue_weighted_mean,min_eigenvalue_q10,min_eigenvalue_q05,spectral_tail_mean,logdet_residual_mean,logdet_residual_weighted_mean,logdet_residual_q90,logdet_residual_q95,euler_density_proxy_mean,euler_density_proxy_weighted_mean,determinant_g_mean,determinant_g_weighted_mean,logdet_g_mean,logdet_g_weighted_mean,logdet_target_mean,logdet_target_weighted_mean,fragility_score_mean,chart_id_mode
cefalu_lambda_1_0,1.0,global,baseline,False,regular,516.0,519.9242553710938,0.04263565891472868,0.03976726040334788,0.14579786360263824,0.1431622086517115,0.042458707466721535,0.008185242302715778,0.006203064284188888,-1.141365885734558,-1.0941573311227804,0.4790741205215454,0.6748838424682617,-4.457564353942871,-4.4738608762139656,0.03168674558401108,0.03076944854384363,-4.457564353942871,-4.4738608762139656,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,global,baseline,True,fragile,84.0,80.07568359375,0.07142857142857142,0.08609878712305605,0.12433626502752304,0.11607559564006434,0.01682071201503277,-0.016312472335994244,-0.016489377736838326,-1.65896737575531,-1.908542823313431,0.3475829839706423,0.5005950689315795,-5.052501678466797,-5.3933672334628096,0.02553727850317955,0.022230784078343294,-5.052501678466797,-5.3933672334628096,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
cefalu_lambda_1_0,1.0,global,baseline_plus_both,False,regular,516.0,519.9242553710938,0.04263565891472868,0.03976726040334788,0.14797954261302948,0.1450441572876729,0.042783377692103386,0.010357968043535948,0.006711670260231655,-1.113334059715271,-1.0685007192252878,0.5194761753082275,0.7074723243713379,-4.429533004760742,-4.448204263679579,0.03244863077998161,0.03137911409077774,-4.429533004760742,-4.448204263679579,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,global,baseline_plus_both,True,fragile,84.0,80.07568359375,0.07142857142857142,0.08609878712305605,0.12747927010059357,0.11878257942551108,0.021008307114243507,-0.013551132893189786,-0.013333518135671815,-1.6254525184631348,-1.8727637696393185,0.38831756114959737,0.544915950298309,-5.01898717880249,-5.357588179788697,0.02653481252491474,0.023026519302335683,-5.01898717880249,-5.357588179788697,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
cefalu_lambda_1_0,1.0,global,baseline_plus_negativity,False,regular,516.0,519.9242553710938,0.04263565891472868,0.03976726040334788,0.14797955751419067,0.1450441637844307,0.04278344288468361,0.010357918916270137,0.006711679383722815,-1.1133341789245605,-1.06850075348976,0.5194762945175171,0.7074725031852722,-4.4295334815979,-4.448204297944052,0.03244863077998161,0.031379113662478836,-4.4295334815979,-4.448204297944052,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,global,baseline_plus_negativity,True,fragile,84.0,80.07568359375,0.07142857142857142,0.08609878712305605,0.12747927010059357,0.11878258956972869,0.021008261665701865,-0.013551112264394758,-0.013333501552955972,-1.6254525184631348,-1.8727637338844998,0.38831753730773944,0.5449161529541012,-5.01898717880249,-5.357588144033879,0.02653481625020504,0.02302652120790809,-5.01898717880249,-5.357588144033879,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
cefalu_lambda_1_0,1.0,global,baseline_plus_projective,False,regular,516.0,519.9242553710938,0.04263565891472868,0.03976726040334788,0.14579786360263824,0.1431622105170663,0.04245869442820549,0.008185214595869184,0.006203068623458071,-1.1413657665252686,-1.094157296409121,0.4790741205215454,0.674884021282196,-4.457564353942871,-4.473860840226518,0.03168674558401108,0.030769448824920578,-4.457564353942871,-4.473860840226518,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,global,baseline_plus_projective,True,fragile,84.0,80.07568359375,0.07142857142857142,0.08609878712305605,0.12433625757694244,0.11607558585863963,0.01682069962844253,-0.01631241962313652,-0.01648937111410002,-1.65896737575531,-1.9085425528309998,0.3475829839706423,0.5005950689315795,-5.052501678466797,-5.3933669629803775,0.02553727477788925,0.022230783116123143,-5.052501678466797,-5.3933669629803775,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
